id;name;nit;brand;active
1;optical;Avon;microchip Money Market Account bypassing;false
2;Group Investment Account Ergonomic Frozen Towels;Lead Operative teal;Human optimizing Vietnam;true
3;Operative;copy;Lithuania Ergonomic Kansas;true
4;generate;Drive;Ergonomic;true
5;Electronics;Functionality Refined Mexico;alarm card;false
6;Malaysian Ringgit reboot;Sports executive;frictionless bluetooth;false
7;International;Berkshire strategic Run;Kip Solutions;false
8;Credit Card Account access Assimilated;Assistant;task-force Hat;true
9;generate Incredible;hardware;Assistant cross-platform superstructure;true
10;radical quantify;Internal;grow Internal;true
