id;percentage;concept;start_date;end_date;active
1;88279;Wooden;index;Berkshire;false
2;8933;Chicken neural;reintermediate Practical Steel Computer;infrastructures;true
3;98278;Incredible data-warehouse Home Loan Account;Cotton;Saint Vincent and the Grenadines monetize Zimbabwe Dollar;false
4;91147;Handcrafted Granite Shirt;azure synthesize;dynamic;true
5;8587;SMS index Soft;Dynamic e-services Rustic;Home Loan Account;false
6;70464;Intelligent;ADP;Tasty Fresh Fish Buckinghamshire;false
7;41973;violet;Savings Account Metal Liaison;Granite purple Borders;true
8;32113;compress Toys users;reinvent Ergonomic Cotton Fish;Universal Factors Soft;true
9;61689;navigate Balboa US Dollar Skyway;hack;HTTP project;true
10;49144;Generic Cotton Bike installation;Granite gold innovative;intuitive;true
