id;total_prize;total_tax;total_discount;date;recall
1;Texas Concrete;FTP;Loop;Chief;true
2;gold;Grove invoice Australia;reboot Rhode Island bypassing;national Marketing Consultant;false
3;Gorgeous Soft Soap Virginia;Florida Home Loan Account;access;sticky monitor Synergized;true
4;Engineer intuitive experiences;Handcrafted Assistant;Money Market Account;program transmitting EXE;true
5;strategic open architecture visualize;Dynamic function;Armenian Dram Fresh Tasty Plastic Mouse;Awesome;false
6;Function-based RAM action-items;Garden Well Buckinghamshire;Internal Licensed Steel Towels RSS;Intelligent Frozen Salad;true
7;interactive reintermediate indigo;Salad;bypassing Gorgeous Fresh Soap Toys;Plains;true
8;Toys;Brand Savings Account;end-to-end unleash;copying Handmade;true
9;Awesome Fresh Soap;e-markets Arizona Barbados Dollar;CSS;Cambridgeshire Rubber;true
10;navigate Home Loan Account Guinea-Bissau;Home Loan Account;deploy;Generic Ethiopian Birr Assurance;true
