id;symbol;country;amount
1;transmit withdrawal Representative;Virgin Islands, British;streamline hard drive Saint Helena Pound
2;hacking connect Books;Taiwan;transmitting Licensed Steel Chips Supervisor
3;Cotton Licensed Steel Table;Bangladesh;Station Handmade Cotton Sausages Investor
4;impactful interface Generic Metal Soap;Martinique;white eyeballs
5;Luxembourg optimizing Practical;Russian Federation;bricks-and-clicks RAM Rupiah
6;Malta user-centric HTTP;Slovakia (Slovak Republic);Supervisor Egyptian Pound Assimilated
7;target withdrawal Rest;Nigeria;Djibouti payment
8;withdrawal Sausages adapter;Western Sahara;B2B
9;Applications Plaza;Morocco;Ergonomic
10;Dominican Peso bypass Awesome Granite Keyboard;Netherlands;Licensed
