id;subscription_type;start_date;end_date;amount;number_of_pos
1;YEARLY;Bedfordshire;virtual;Lead;96224
2;TRIAL;Pataca;Norfolk Island Avon;Branding Re-engineered;49063
3;YEARLY;TCP;disintermediate;Car withdrawal Fundamental;52837
4;TRIAL;Pennsylvania CSS Chair;Alabama;homogeneous Manager;98891
5;TRIAL;invoice Plastic;Ball Liaison Ergonomic Cotton Ball;extend;38088
6;MONTHLY;Refined wireless;Cambridgeshire;copy white;53497
7;MONTHLY;mission-critical;Garden;Trinidad and Tobago Dollar payment;84295
8;MONTHLY;Grocery Personal Loan Account Licensed Wooden Keyboard;optical Mobility Romania;Phased Product override;6177
9;YEARLY;Loop connect leading edge;withdrawal;bleeding-edge;4944
10;TRIAL;Frozen;HDD Drive red;PCI Enhanced;40090
